3349	996	1668	
2385	1908	944	
1813	853	806	
2106	2765	833	
1964	1660	3834	
1033	2284	2066	
3054	3046	1554	
431	3479	3957	
3299	818	3288	
3452	2324	1310	
627	2921	1266	
880	600	3212	
3147	3428	3240	
697	1869	2583	
1018	1788	281	
1094	3865	3152	
2270	1398	2271	
1774	1057	2121	
3849	1889	2594	
1023	3275	2589	
2590	425	1754	
3622	719	1295	
1611	708	2384	
911	1318	2593	
2494	1930	684	
968	364	1538	
1106	252	1564	
1196	3346	1350	
3452	2274	1470	
923	3414	3415	
3027	987	2041	
1760	544	2356	
1348	3520	2790	
2166	203	1240	
2174	3190	2175	
3400	2410	3526	
2373	2414	2415	
3271	946	1438	
238	1986	1818	
1079	3923	888	
3870	1692	791	
3714	1838	2968	
3391	3902	1993	
562	3313	2566	
1978	2180	1566	
2062	1040	2461	
862	2556	3102	
632	2991	694	
3887	1362	1423	
87	887	1412	
384	2476	1558	
3608	2380	241	
636	1255	891	
644	738	2121	
1406	3688	2224	
2036	2859	2488	
894	2060	1494	
3370	3466	2094	
3882	1104	3399	
1046	2630	2901	
1518	1090	3329	
1403	3643	1358	
1778	1796	2766	
1291	1290	2496	
3164	1664	1930	
2064	3786	938	
1288	3892	3550	
68	1464	2775	
1721	1117	67	
2502	2196	1325	
2698	2034	2561	
2091	2359	2358	
380	652	3686	
2452	1612	3457	
1789	1018	1822	
1137	141	1990	
1842	1806	1584	
2742	84	3941	
2118	890	376	
3593	423	2735	
501	1984	3476	
416	1862	1863	
2820	1084	646	
2234	2351	1293	
77	1273	1650	
2129	2958	914	
1232	3538	2263	
3933	2694	49	
3760	3157	463	
2610	2611	1984	
3936	602	3539	
2973	1371	3294	
765	1754	1636	
1706	2930	2636	
1076	2860	3950	
1338	3926	2932	
3129	3334	1286	
2022	2206	2790	
484	3560	3792	
3598	2572	2676	
1380	2470	695	
1248	748	2315	
650	961	207	
1598	816	1526	
970	1709	721	
2170	714	3069	
2014	2334	3819	
744	2778	3181	
3158	2160	2712	
2748	1834	1812	
1929	2817	169	
578	2838	850	
1626	3448	3806	
2439	2611	2795	
716	3162	237	
3228	794	3229	
3894	3916	2000	
3098	3232	988	
3522	3628	1846	
3949	3844	656	
2084	1880	976	
2008	2663	2009	
732	1024	3330	
1903	1902	2553	
954	3442	2156	
2457	3404	1059	
3640	502	1912	
3206	2642	3590	
3703	3117	3567	
1568	1115	2465	
1944	259	2103	
1632	3782	2626	
862	2640	1230	
3382	560	3441	
1326	513	3701	
905	2540	2733	
1910	1644	3188	
3074	3531	285	
2016	293	3015	
939	499	2080	
2053	1082	1096	
75	1136	1061	
1397	3664	1267	
930	3204	597	
3301	2174	3890	
1550	1498	3982	
556	1182	1447	
1337	671	1510	
1921	1920	480	
1376	336	1442	
539	538	610	
2799	2347	1147	
512	1493	3341	
1515	3202	3417	
2084	1784	1073	
1511	327	1088	
3402	1154	3655	
625	2683	675	
666	3875	3444	
3980	2199	455	
556	642	569	
3740	918	299	
3326	339	1321	
2948	2260	3627	
3814	1396	1766	
2737	181	2059	
1340	279	3077	
2936	2580	3183	
343	2136	2486	
110	341	713	
1111	2665	3121	
858	3124	1259	
3902	2232	3723	
1827	3257	3058	
2880	2154	3360	
1345	2208	2881	
1239	3778	1394	
885	3498	2854	
216	801	635	
1497	654	634	
1008	1810	375	
2988	165	361	
2822	2230	1746	
2757	2774	3292	
2754	3420	1487	
2437	1547	353	
3363	2840	662	
3353	2378	2527	
2920	2500	3503	
567	3284	2355	
3961	1461	1477	
3065	823	3977	
1546	3457	2579	
1890	2974	381	
3518	3107	1404	
3470	3969	1372	
802	3704	1670	
3063	572	2652	
3254	1294	388	
1532	1533	2927	
1054	1730	2160	
3822	3944	1268	
2664	1110	1771	
1752	1753	33	
1790	2466	3546	
2087	2877	242	
3044	614	481	
980	102	1816	
3971	1701	2546	
2628	608	1724	
2684	2554	664	
379	3297	1763	
1515	2362	1379	
3695	2283	1441	
3606	2823	3661	
1744	3141	3692	
178	2194	2788	
3250	1905	2534	
3896	2306	1434	
2044	3181	2045	
834	1928	3178	
860	3848	1757	
522	1082	1938	
1527	970	1246	
1828	3524	3242	
1002	2110	3380	
728	1540	3569	
3859	3585	350	
1756	1667	3332	
250	3089	2625	
2138	2744	3698	
3953	3331	448	
2492	1740	3614	
3055	3931	2746	
3318	3764	886	
2246	593	3083	
3246	3898	1886	
1576	114	1899	
38	912	992	
1879	487	2039	
810	2418	1483	
1414	3217	51	
1011	2606	205	
1879	2298	465	
2122	3882	3484	
1462	1020	2714	
1016	1802	3283	
999	2050	3325	
1694	3221	2432	
1200	612	449	
229	962	3948	
284	3730	3200	
26	2340	2784	
3908	517	555	
934	257	2070	
2885	2184	491	
1892	2220	2115	
2564	254	2935	
3604	526	1039	
3458	130	1071	
752	1140	3241	
3701	3700	648	
2064	1184	558	
3090	3091	2908	
1627	3809	2243	
1042	565	3639	
535	2116	3424	
3286	3177	2429	
1718	1511	2125	
1988	1015	2076	
1068	2120	2167	
658	2147	531	
1004	525	539	
1858	2798	1029	
2211	3194	614	
330	2768	596	
3214	478	571	
2924	3215	1474	
2516	2600	1406	
3182	166	3861	
658	1096	523	
2082	1015	14	
680	3572	1253	
1120	3516	3517	
251	3302	3218	
137	1383	2441	
2148	2348	3068	
567	2475	411	
3962	3886	575	
1267	592	2658	
1174	3350	2620	
1386	371	2998	
2068	3014	2240	
3663	730	138	
2720	543	3028	
3929	1429	1505	
1230	2215	2377	
1187	3667	3796	
304	2830	1466	
1572	161	2824	
2424	2007	2342	
2602	3417	2369	
1262	3404	762	
1297	3543	2700	
298	2188	2844	
1523	2739	2738	
3784	1416	2262	
1644	1383	2484	
1156	3308	1157	
1236	2544	3685	
2235	2984	758	
328	1276	2397	
781	1465	3042	
3007	1861	3408	
2682	3974	674	
454	3633	1738	
1926	2302	2801	
3843	3655	1223	
1243	3609	3217	
339	3327	1251	
2638	2296	633	
2305	1590	2323	
1388	3268	1139	
566	1503	2112	
651	2052	739	
366	812	1179	
1494	1863	895	
1517	155	2173	
311	3306	3694	
3838	1378	672	
275	2767	1079	
3805	1367	597	
395	1673	3211	
2982	1513	2893	
1164	2470	2471	
725	2271	1400	
149	1496	1167	
1240	782	1241	
3784	2751	3736	
162	319	3680	
1265	3436	3385	
169	1484	2143	
2576	1607	764	
2256	168	712	
3342	3336	701	
3911	2502	1393	
1330	3451	1688	
3423	3422	1618	
710	3756	2616	
1151	2527	3039	
227	1257	2398	
3683	900	3682	
652	3646	2455	
3105	185	3866	
2410	3772	2132	
1347	619	2929	
2488	590	1426	
3903	3723	1525	
949	757	2865	
613	1963	3967	
715	3502	2149	
2989	181	1411	
464	1490	1719	
1510	2173	785	
25	3734	3685	
3124	3125	1659	
325	1792	1586	
1647	813	1249	
2915	3434	616	
2783	3126	1851	
2602	1556	3052	
2923	291	2361	
2208	3959	2869	
3070	1655	3005	
913	792	1811	
692	180	1445	
78	1624	3255	
1647	2735	2623	
1142	2984	1292	
211	3085	2151	
3924	72	761	
1128	193	3889	
3670	1610	2758	
1768	709	3161	
1932	50	2183	
439	849	3133	
2901	2461	2460	
1615	2536	2877	
1532	198	3824	
1245	3566	1530	
3668	2431	1620	
1424	3802	3419	
394	2668	1304	
3855	3759	1713	
2635	3758	392	
332	3237	771	
3728	3150	3729	
1952	3277	825	
1852	1314	2177	
973	3930	733	
1987	720	892	
720	1468	1469	
